dt,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,year,month,day,hour,weekday
2022-08-12 06:00:00,1,0.0077502748206753624,0.0,0.03288700963119568,0.1443621237108327,0.03548225887056471,0.012747532247320295,0.011998366179924436,0.012452543659832954,2022,8,12,6,Friday
2022-08-12 07:00:00,1,0.007013733292340632,0.0,0.029206796648657107,0.1443621237108327,0.03068465767116442,0.016502149821352875,0.01503625038292658,0.010933940774487472,2022,8,12,7,Friday
2022-08-12 08:00:00,1,0.006644356609962557,0.0,0.02818886539816772,0.1408422969946095,0.02828585707146427,0.018712529522194637,0.016899826406616972,0.009870918754745635,2022,8,12,8,Friday
2022-08-12 09:00:00,1,0.006644356609962557,0.0,0.0301855766972046,0.12851059640140794,0.03008495752123938,0.01825834191243263,0.016542428265087308,0.00941533788914199,2022,8,12,9,Friday
2022-08-12 10:00:00,1,0.007013733292340632,0.0,0.034570511314697364,0.1126836832648239,0.0336831584207896,0.016592987343305277,0.015266006331052791,0.00941533788914199,2022,8,12,10,Friday
2022-08-12 11:00:00,1,0.009227781550187678,0.0002224234624978155,0.04933051444679351,0.0871587860289955,0.03788105947026487,0.014957911948162057,0.014270397222505872,0.01199696279422931,2022,8,12,11,Friday
2022-08-12 12:00:00,1,0.011441829808034716,0.004210158397280079,0.05469422911283377,0.07305486499126197,0.04207896051974013,0.013686186640828438,0.013555600939446542,0.014882308276385725,2022,8,12,12,Friday
2022-08-12 13:00:00,1,0.011441829808034716,0.00834087984366808,0.04729465194581473,0.08890639230068674,0.046176911544227886,0.012353902985526556,0.012611048708261002,0.016249050873196662,2022,8,12,13,Friday
2022-08-12 14:00:00,1,0.009966534914943828,0.007196987750822173,0.04330122934774097,0.13203042311763113,0.049175412293853075,0.011112456852177072,0.01151332584499132,0.015489749430523921,2022,8,12,14,Friday
2022-08-12 15:00:00,2,0.00848902818543152,0.0046232305419188794,0.03590165218072195,0.20070396534324467,0.049175412293853075,0.010991340156240537,0.011232513019503726,0.014123006833712985,2022,8,12,15,Friday
2022-08-12 16:00:00,2,0.004058719833316009,0.0026214193794385394,0.020123717798136403,0.22359514608511585,0.03248375812093953,0.006207230666747411,0.006356581231491882,0.009719058466211086,2022,8,12,16,Friday
2022-08-12 17:00:00,2,0.0033221783049812784,0.002256009405334986,0.018479367316576616,0.22534275235680706,0.026586706646676665,0.004148246835826319,0.00439089145307873,0.008807896735003796,2022,8,12,17,Friday
2022-08-12 18:00:00,2,0.0033221783049812784,0.0021606850642644938,0.0204760786156135,0.2288625790730303,0.02628685657171414,0.0035426633561436447,0.0038803226794649247,0.009263477600607441,2022,8,12,18,Friday
2022-08-12 19:00:00,2,0.0036893431509379265,0.0020176985526587548,0.023843081982616865,0.22534275235680706,0.027186406796601698,0.0028765215284927027,0.003318697028489738,0.009567198177676537,2022,8,12,19,Friday
2022-08-12 20:00:00,2,0.004797473198072166,0.0020176985526587548,0.03186907838070628,0.21655549265266943,0.0318840579710145,0.00236177557076243,0.002961298886960074,0.010782080485952923,2022,8,12,20,Friday
2022-08-12 21:00:00,2,0.007013733292340632,0.0018905994312314316,0.044632370213765565,0.20951583922022304,0.03908045977011494,0.002089263004905226,0.0028847135709180027,0.01275626423690205,2022,8,12,21,Friday
2022-08-12 22:00:00,2,0.03063835810958765,0.00727642470171425,0.15464724767050347,0.1408422969946095,0.07186406796601699,0.0061163931447950105,0.008679669151434697,0.03295368261199697,2022,8,12,22,Friday
2022-08-12 23:00:00,2,0.06681294278200361,0.018461147387318685,0.2861561349933443,0.05897555812636917,0.10754622688655673,0.013746744988796706,0.01968242622281221,0.05998481397114655,2022,8,12,23,Friday
2022-08-13 00:00:00,2,0.09486787595136614,0.02769172108097803,0.36665100618588986,0.00814729121027888,0.1278360819590205,0.021528492702719074,0.031017052997038705,0.07775246772968869,2022,8,13,0,Saturday
2022-08-13 01:00:00,2,0.10077347919657256,0.030900973897017937,0.3612872915198496,0.00012307086420360847,0.1266366816591704,0.02525283110276752,0.036888593893597464,0.07972665148063782,2022,8,13,1,Saturday
2022-08-13 02:00:00,2,0.07862636110883782,0.021845161495321164,0.2673635580612324,0.0004922834568144339,0.0861569215392304,0.02028704656936959,0.030608597978147654,0.05998481397114655,2022,8,13,2,Saturday
2022-08-13 03:00:00,2,0.04466582469426891,0.005640023513337464,0.17343982460261528,0.01585152730942477,0.047976011994003,0.011596923635923212,0.017844378637802513,0.03538344722854974,2022,8,13,3,Saturday
2022-08-13 04:00:00,1,0.017349644889662535,1.5887390178415394e-05,0.07818495027797354,0.08627267580672952,0.03668165917041479,0.005147459577302732,0.007684060042887777,0.018375094912680336,2022,8,13,4,Saturday
2022-08-13 05:00:00,1,0.009227781550187678,0.0,0.04866494401378122,0.11002535259802597,0.02888555722138931,0.003906013443953249,0.005412029000306341,0.013667425968109341,2022,8,13,5,Saturday
2022-08-13 06:00:00,1,0.005905603245206399,0.0,0.03723279304674653,0.1162035099810471,0.024787606196901547,0.003603221704111912,0.0046972327172470135,0.011389521640091117,2022,8,13,6,Saturday
2022-08-13 07:00:00,1,0.004428096515694084,0.0,0.03222143919818338,0.11795111625273834,0.025087456271864067,0.003512384182159511,0.00444194833044011,0.010630220197418374,2022,8,13,7,Saturday
2022-08-13 08:00:00,1,0.004428096515694084,0.0,0.03323937044867278,0.1126836832648239,0.02828585707146427,0.003754617574032581,0.004748289594608394,0.011085801063022021,2022,8,13,8,Saturday
2022-08-13 09:00:00,1,0.004797473198072166,0.0,0.03793751468170073,0.10035198267162233,0.03308345827086456,0.004208805183794586,0.005335443684264271,0.012452543659832954,2022,8,13,9,Saturday
2022-08-13 10:00:00,1,0.005905603245206399,1.5887390178415394e-05,0.04596351107979015,0.08275284909050631,0.03668165917041479,0.004632713619572458,0.005999183089962217,0.013971146545178437,2022,8,13,10,Saturday
2022-08-13 11:00:00,1,0.00848902818543152,0.0005719460464229541,0.060057943778873996,0.06249538484259237,0.03908045977011494,0.0052988554472234,0.00702032063718983,0.016856492027334857,2022,8,13,11,Saturday
2022-08-13 12:00:00,1,0.011441829808034716,0.005767122634764787,0.05735651084488294,0.06249538484259237,0.04207896051974013,0.00578332223096954,0.007658531604207088,0.019286256643887625,2022,8,13,12,Saturday
2022-08-13 13:00:00,1,0.011441829808034716,0.008785726768663713,0.04596351107979015,0.08538656558446354,0.044377811094452775,0.0058438805789378075,0.007505360972122946,0.019134396355353078,2022,8,13,13,Saturday
2022-08-13 14:00:00,1,0.009966534914943828,0.007641834675817803,0.040599796413749896,0.12499076968518474,0.046176911544227886,0.0061163931447950105,0.007556417849484327,0.018375094912680336,2022,8,13,14,Saturday
2022-08-13 15:00:00,1,0.00848902818543152,0.004797991833881449,0.03288700963119568,0.19014448519457505,0.04207896051974013,0.007448676800096894,0.008373327887266415,0.016704631738800307,2022,8,13,15,Saturday
